Disease,Temperature (°C),Humidity (%),Rainfall (mm),Cloud Cover (%),Wind Speed (km/h),Leaf Wetness (hrs),Risk La,Risk Label
Late Blight,23.99,77.25,0.7,30.13,3.8,7.7,Low Risk,
Late Blight,20.19,69.07,0.82,49.17,1.87,8.78,Low Risk,
Late Blight,24.21,80.25,1.46,42.18,2.06,8.25,Low Risk,
Late Blight,18.69,67.38,1.26,38.45,1.51,9.96,Low Risk,
Late Blight,19.43,83.15,0.84,35.85,3.52,5.9,Low Risk,
Late Blight,23.15,74.99,0.23,29.94,3.2,7.57,Low Risk,
Late Blight,18.69,72.06,1.48,25.99,3.18,5.69,Low Risk,
Late Blight,23.07,83.71,1.96,18.59,1.88,8.88,Low Risk,
Late Blight,24.18,69.71,0.22,35.17,3.54,5.12,Low Risk,
Late Blight,24.7,72.27,0.06,46.87,3.4,6.78,Low Risk,
Late Blight,22.49,66.16,0.57,37.76,3.76,9.49,Low Risk,
Late Blight,19.36,75.29,1.82,41.23,2.25,8.08,Low Risk,
Late Blight,20.48,80.55,1.06,46.93,3.02,9.29,Low Risk,
Late Blight,19.59,69.28,0.85,33.45,1.26,6.37,Low Risk,
Late Blight,24.09,78.84,1.17,13.9,2.08,9.93,Low Risk,
Late Blight,23.0,74.74,1.58,16.2,2.24,7.37,Low Risk,
Late Blight,19.53,76.91,0.83,29.36,1.35,7.17,Low Risk,
Late Blight,25.91,68.92,1.1,46.25,1.75,6.44,Low Risk,
Late Blight,20.87,84.54,0.07,15.92,3.99,9.84,Low Risk,
Late Blight,21.13,67.07,1.94,44.71,1.47,9.05,Low Risk,
Late Blight,18.34,74.6,0.45,16.5,2.23,8.95,Low Risk,
Late Blight,18.97,65.33,1.03,44.29,2.81,7.6,Low Risk,
Late Blight,23.04,82.72,0.22,10.06,1.17,6.95,Low Risk,
Late Blight,22.78,79.14,1.93,29.52,3.63,8.71,Low Risk,
Late Blight,22.67,69.15,1.17,47.9,1.54,5.47,Low Risk,
Late Blight,20.26,81.93,1.23,33.25,2.88,8.67,Low Risk,
Late Blight,18.94,73.53,0.77,38.97,2.44,8.05,Low Risk,
Late Blight,22.09,81.29,0.67,30.98,2.62,5.92,Low Risk,
Late Blight,24.44,80.44,1.08,38.49,3.75,8.55,Low Risk,
Late Blight,20.59,84.52,1.45,47.71,1.63,8.99,Low Risk,
Late Blight,19.74,85.0,1.34,37.64,2.56,5.53,Low Risk,
Late Blight,24.02,72.64,1.52,38.03,3.67,5.81,Low Risk,
Late Blight,21.1,75.59,1.65,19.12,2.15,5.0,Low Risk,
Late Blight,25.96,82.21,1.95,17.18,3.7,8.84,Low Risk,
Late Blight,18.21,77.58,1.7,10.48,2.45,9.39,Low Risk,
Late Blight,20.67,84.28,1.21,15.02,2.96,6.53,Low Risk,
Late Blight,22.04,72.8,1.92,14.58,1.97,9.88,Low Risk,
Late Blight,23.4,72.29,0.5,30.46,3.53,6.04,Low Risk,
Late Blight,20.98,78.59,0.67,29.04,1.51,6.09,Low Risk,
Late Blight,21.14,74.24,0.05,28.95,2.21,5.04,Low Risk,
Late Blight,21.87,75.83,1.2,40.54,3.33,8.5,Low Risk,
Late Blight,19.48,72.89,0.62,35.22,2.99,8.92,Low Risk,
Late Blight,23.0,84.23,0.07,44.46,1.4,6.05,Low Risk,
Late Blight,24.44,84.59,0.04,44.22,1.05,5.3,Low Risk,
Late Blight,23.88,67.68,1.6,39.38,1.77,5.25,Low Risk,
Late Blight,21.56,75.35,1.81,11.13,2.57,5.11,Low Risk,
Late Blight,25.0,66.95,1.79,29.26,3.36,9.66,Low Risk,
Late Blight,19.12,81.17,0.24,37.17,1.63,8.23,Low Risk,
Late Blight,19.92,66.26,0.49,39.89,2.4,7.86,Low Risk,
Late Blight,21.38,75.61,0.8,35.97,1.04,9.39,Low Risk,
Late Blight,18.04,80.28,1.18,42.9,1.69,7.17,Low Risk,
Late Blight,19.83,78.84,0.21,20.35,2.88,9.11,Low Risk,
Late Blight,20.24,81.82,1.54,31.37,1.46,5.43,Low Risk,
Late Blight,24.59,77.61,1.1,30.54,3.93,8.11,Low Risk,
Late Blight,20.74,80.31,1.21,13.13,1.99,6.24,Low Risk,
Late Blight,25.35,83.59,0.9,21.4,2.6,6.98,Low Risk,
Late Blight,25.44,82.31,0.48,18.77,3.34,8.5,Low Risk,
Late Blight,25.32,67.9,0.98,15.58,2.83,6.53,Low Risk,
Late Blight,25.74,78.86,1.57,34.68,3.34,9.9,Low Risk,
Late Blight,18.93,74.69,0.67,36.5,1.8,7.77,Low Risk,
Late Blight,24.03,82.9,1.31,30.08,3.18,8.43,Low Risk,
Late Blight,25.47,72.17,1.41,26.46,1.47,9.71,Low Risk,
Late Blight,22.8,84.67,1.45,31.38,2.98,9.05,Low Risk,
Late Blight,18.54,75.27,0.95,24.65,3.35,6.6,Low Risk,
Late Blight,20.17,84.55,0.72,22.61,2.13,6.09,Low Risk,
Late Blight,22.58,71.3,0.03,18.77,3.7,5.64,Low Risk,
Late Blight,22.21,73.82,0.86,22.5,3.8,5.92,Low Risk,
Late Blight,24.87,68.79,0.04,44.01,3.52,7.65,Low Risk,
Late Blight,18.52,65.3,1.04,48.19,1.91,9.24,Low Risk,
Late Blight,18.06,83.49,0.95,26.77,2.12,7.34,Low Risk,
Late Blight,20.35,80.12,1.81,36.67,1.8,9.46,Low Risk,
Late Blight,24.77,75.43,0.4,32.51,1.58,7.11,Low Risk,
Late Blight,25.4,76.96,0.02,12.87,3.88,8.08,Low Risk,
Late Blight,25.47,73.48,0.69,20.98,3.27,6.59,Low Risk,
Late Blight,21.65,73.35,0.02,24.77,3.92,9.96,Low Risk,
Late Blight,19.24,70.85,0.1,25.0,2.44,8.63,Low Risk,
Late Blight,18.39,79.7,0.79,13.37,1.14,7.76,Low Risk,
Late Blight,25.74,66.41,1.42,19.13,3.0,7.88,Low Risk,
Late Blight,22.8,69.47,1.96,14.71,3.18,5.45,Low Risk,
Late Blight,23.19,67.04,1.1,21.0,2.99,5.38,Low Risk,
Late Blight,25.25,71.52,0.75,36.23,2.99,5.69,Low Risk,
Late Blight,18.27,76.94,1.8,47.53,3.07,6.31,Low Risk,
Late Blight,21.52,81.51,0.75,45.33,2.3,9.5,Low Risk,
Late Blight,22.46,80.36,0.45,30.29,3.98,5.68,Low Risk,
Late Blight,18.89,77.91,0.04,25.4,2.82,5.72,Low Risk,
Late Blight,21.73,68.47,0.53,22.99,1.41,6.58,Low Risk,
Late Blight,25.12,74.99,0.55,17.17,3.12,9.78,Low Risk,
Late Blight,20.28,77.97,0.66,29.45,1.03,6.37,Low Risk,
Late Blight,18.46,80.3,1.0,14.92,2.12,9.31,Low Risk,
Late Blight,21.42,66.6,1.37,22.65,1.87,6.16,Low Risk,
Late Blight,23.74,83.37,0.12,42.31,2.91,5.99,Low Risk,
Late Blight,22.98,68.51,1.53,19.14,3.26,9.54,Low Risk,
Late Blight,25.13,76.21,1.48,26.03,1.03,9.73,Low Risk,
Late Blight,21.54,72.08,1.11,23.33,2.81,6.37,Low Risk,
Late Blight,24.33,69.8,1.48,42.72,2.53,8.32,Low Risk,
Late Blight,18.22,78.98,1.28,39.28,1.35,5.16,Low Risk,
Late Blight,23.41,77.79,0.16,14.42,1.85,7.68,Low Risk,
Late Blight,18.97,65.96,1.1,24.56,1.95,8.79,Low Risk,
Late Blight,22.06,73.69,0.14,30.34,3.74,7.3,Low Risk,
Late Blight,23.98,83.67,0.6,39.39,1.27,5.48,Low Risk,
Early Blight,20.92,71.89,1.25,37.32,3.22,5.4,Low Risk,
Early Blight,23.91,65.38,0.44,35.65,1.04,9.92,Low Risk,
Early Blight,19.35,65.01,0.6,31.72,2.45,5.68,Low Risk,
Early Blight,18.54,73.14,1.27,34.55,2.88,5.06,Low Risk,
Early Blight,22.51,72.61,1.9,24.44,1.3,6.25,Low Risk,
Early Blight,20.71,68.7,0.44,12.06,1.58,6.29,Low Risk,
Early Blight,21.17,75.73,0.62,31.73,2.91,5.8,Low Risk,
Early Blight,20.17,75.61,1.14,45.42,2.93,7.33,Low Risk,
Early Blight,20.77,82.92,0.89,15.11,2.92,5.15,Low Risk,
Early Blight,18.34,67.31,1.44,18.7,2.48,6.78,Low Risk,
Early Blight,24.15,71.08,1.13,14.84,2.46,7.46,Low Risk,
Early Blight,19.63,83.52,0.44,36.33,1.44,6.63,Low Risk,
Early Blight,20.54,65.82,1.74,34.6,3.63,9.44,Low Risk,
Early Blight,22.84,80.68,0.04,41.79,3.91,6.98,Low Risk,
Early Blight,19.35,67.54,0.36,17.62,3.51,9.28,Low Risk,
Early Blight,19.24,79.37,0.69,20.76,3.09,5.72,Low Risk,
Early Blight,24.46,67.3,0.97,48.3,1.01,8.02,Low Risk,
Early Blight,21.43,81.89,0.75,31.31,3.93,7.75,Low Risk,
Early Blight,18.73,83.18,1.43,16.08,1.42,6.93,Low Risk,
Early Blight,22.37,66.67,1.96,24.99,3.97,9.21,Low Risk,
Early Blight,19.61,67.12,1.84,30.58,2.01,8.92,Low Risk,
Early Blight,22.1,76.74,1.9,21.54,1.3,5.7,Low Risk,
Early Blight,24.01,81.64,0.78,32.95,3.82,5.36,Low Risk,
Early Blight,22.17,77.54,0.8,48.48,1.11,9.48,Low Risk,
Early Blight,25.5,74.2,0.9,40.9,3.33,5.94,Low Risk,
Early Blight,21.93,84.5,0.86,40.1,1.16,6.91,Low Risk,
Early Blight,20.95,75.72,0.78,17.33,2.41,5.62,Low Risk,
Early Blight,21.71,66.05,1.55,49.75,2.38,5.58,Low Risk,
Early Blight,24.19,77.09,1.55,38.0,2.95,9.11,Low Risk,
Early Blight,24.2,80.03,0.64,48.89,1.38,7.08,Low Risk,
Early Blight,19.31,80.68,0.73,42.35,2.57,6.88,Low Risk,
Early Blight,18.47,71.34,1.4,41.09,2.18,9.81,Low Risk,
Early Blight,18.88,77.46,1.58,34.59,3.48,6.62,Low Risk,
Early Blight,21.71,66.58,0.61,26.46,3.6,8.84,Low Risk,
Early Blight,18.67,67.66,0.41,44.5,2.52,9.07,Low Risk,
Early Blight,20.69,69.61,0.45,45.68,3.84,7.3,Low Risk,
Early Blight,23.92,66.35,1.23,10.31,2.08,9.75,Low Risk,
Early Blight,21.66,82.0,0.29,46.08,1.72,6.47,Low Risk,
Early Blight,20.11,68.21,0.65,29.72,3.0,7.09,Low Risk,
Early Blight,19.68,76.94,0.31,23.93,1.68,5.26,Low Risk,
Early Blight,24.1,71.05,0.66,12.67,1.07,8.76,Low Risk,
Early Blight,18.23,68.64,0.1,38.85,3.49,7.65,Low Risk,
Early Blight,24.6,72.17,0.68,40.05,3.6,8.15,Low Risk,
Early Blight,20.36,70.97,0.94,47.43,3.34,5.64,Low Risk,
Early Blight,21.42,79.49,0.79,20.74,3.68,6.17,Low Risk,
Early Blight,19.87,82.55,1.71,48.62,1.15,7.27,Low Risk,
Early Blight,21.85,71.53,1.92,25.79,2.72,6.26,Low Risk,
Early Blight,19.88,79.53,0.6,41.1,3.77,8.05,Low Risk,
Early Blight,18.03,83.01,1.33,36.58,2.41,5.21,Low Risk,
Early Blight,20.04,70.1,0.13,19.66,2.73,6.53,Low Risk,
Early Blight,21.59,66.94,0.11,47.82,3.07,5.32,Low Risk,
Early Blight,24.22,81.21,0.07,48.55,1.18,9.7,Low Risk,
Early Blight,22.8,79.86,0.65,19.58,2.64,8.23,Low Risk,
Early Blight,20.86,65.96,0.83,15.44,2.21,5.62,Low Risk,
Early Blight,24.53,68.68,1.67,35.64,2.5,5.17,Low Risk,
Early Blight,21.61,72.85,1.05,49.3,2.6,9.8,Low Risk,
Early Blight,19.73,66.18,1.36,32.77,3.28,8.92,Low Risk,
Early Blight,23.62,82.83,0.05,38.1,1.86,8.32,Low Risk,
Early Blight,24.22,72.31,1.84,26.2,1.42,9.01,Low Risk,
Early Blight,20.03,81.26,0.33,43.4,3.42,8.13,Low Risk,
Early Blight,25.59,73.3,0.81,49.15,2.84,8.04,Low Risk,
Early Blight,19.42,70.4,1.39,36.74,2.93,8.64,Low Risk,
Early Blight,20.98,65.85,0.23,46.45,3.49,7.27,Low Risk,
Early Blight,21.77,77.49,0.54,27.81,3.14,7.38,Low Risk,
Early Blight,25.38,82.91,1.06,30.41,1.82,6.87,Low Risk,
Early Blight,25.98,71.27,1.7,45.69,2.38,8.71,Low Risk,
Early Blight,20.41,74.47,1.63,42.65,3.38,8.57,Low Risk,
Early Blight,21.7,79.36,1.45,12.51,1.13,7.88,Low Risk,
Early Blight,20.14,76.36,0.36,13.78,2.84,5.03,Low Risk,
Early Blight,23.39,73.26,1.18,43.67,3.45,9.78,Low Risk,
Early Blight,22.68,67.05,0.24,41.34,2.11,9.51,Low Risk,
Early Blight,20.3,77.48,0.34,31.89,1.26,6.27,Low Risk,
Early Blight,22.38,75.15,1.22,12.07,3.93,8.38,Low Risk,
Early Blight,23.0,67.01,1.91,40.08,1.94,9.55,Low Risk,
Early Blight,24.95,82.04,1.01,43.26,2.34,7.51,Low Risk,
Early Blight,24.08,76.98,1.15,46.58,2.88,9.13,Low Risk,
Early Blight,23.9,68.5,1.26,13.69,1.68,9.19,Low Risk,
Early Blight,25.61,79.76,0.96,33.31,2.36,8.44,Low Risk,
Early Blight,23.81,69.58,1.69,10.13,3.29,7.56,Low Risk,
Early Blight,22.42,76.61,0.4,14.32,1.62,6.77,Low Risk,
Early Blight,23.98,76.11,1.49,26.37,3.41,7.95,Low Risk,
Early Blight,21.35,84.42,1.85,45.39,3.88,9.51,Low Risk,
Early Blight,19.4,78.69,1.28,13.42,3.18,8.05,Low Risk,
Early Blight,20.27,79.04,1.99,11.28,3.66,5.77,Low Risk,
Early Blight,20.82,65.42,1.67,21.16,2.91,5.35,Low Risk,
Early Blight,23.78,78.82,0.34,41.15,3.45,7.45,Low Risk,
Early Blight,18.89,77.88,1.67,28.96,3.62,5.99,Low Risk,
Early Blight,18.15,71.13,0.44,32.2,2.12,7.1,Low Risk,
Early Blight,19.24,73.0,0.42,11.55,3.55,9.75,Low Risk,
Early Blight,23.15,77.98,0.4,32.93,3.17,8.4,Low Risk,
Early Blight,19.73,79.73,0.67,12.47,1.59,7.89,Low Risk,
Early Blight,22.71,65.21,0.6,32.66,3.91,9.04,Low Risk,
Early Blight,24.11,71.39,1.67,17.33,3.34,6.07,Low Risk,
Early Blight,18.05,73.38,0.92,13.91,3.76,7.6,Low Risk,
Early Blight,20.24,72.38,1.94,15.25,1.88,5.25,Low Risk,
Early Blight,21.65,81.56,1.2,11.44,2.07,7.48,Low Risk,
Early Blight,18.3,73.7,1.07,46.52,1.06,7.35,Low Risk,
Early Blight,25.43,76.44,1.14,34.27,1.51,6.15,Low Risk,
Early Blight,21.96,81.31,0.66,19.01,2.52,8.5,Low Risk,
Early Blight,19.13,65.34,0.41,38.11,2.77,7.26,Low Risk,
Common Scab,25.26,82.35,1.1,12.75,1.69,8.7,Low Risk,
Common Scab,18.77,72.16,1.99,21.65,1.81,5.02,Low Risk,
Common Scab,25.67,72.1,1.14,37.36,3.37,7.96,Low Risk,
Common Scab,19.25,70.88,1.51,16.11,3.31,7.06,Low Risk,
Common Scab,25.07,74.81,1.48,49.46,3.27,7.99,Low Risk,
Common Scab,19.12,80.25,0.15,33.37,2.97,7.37,Low Risk,
Common Scab,21.72,72.01,1.31,10.28,1.65,7.84,Low Risk,
Common Scab,25.85,84.33,0.79,31.76,3.63,8.56,Low Risk,
Common Scab,22.96,84.05,0.19,31.52,3.09,6.88,Low Risk,
Common Scab,19.36,71.16,0.86,24.88,2.07,6.04,Low Risk,
Common Scab,21.09,70.63,0.15,45.28,1.8,9.8,Low Risk,
Common Scab,20.62,84.82,1.2,40.16,1.66,9.56,Low Risk,
Common Scab,23.84,67.58,2.0,14.12,1.98,6.33,Low Risk,
Common Scab,23.22,80.0,0.03,38.68,2.75,9.75,Low Risk,
Common Scab,20.02,82.16,0.42,20.37,3.41,7.72,Low Risk,
Common Scab,18.55,72.85,0.46,15.71,3.43,6.06,Low Risk,
Common Scab,24.58,69.21,1.25,15.95,3.55,5.63,Low Risk,
Common Scab,25.97,73.83,1.03,31.83,2.49,7.45,Low Risk,
Common Scab,23.0,76.53,1.12,43.14,2.95,5.14,Low Risk,
Common Scab,24.1,71.98,1.47,14.58,3.55,5.14,Low Risk,
Common Scab,23.23,84.55,1.76,31.12,2.08,8.3,Low Risk,
Common Scab,18.15,68.83,0.47,33.79,1.78,6.66,Low Risk,
Common Scab,20.5,68.37,1.47,47.26,1.55,9.02,Low Risk,
Common Scab,18.09,65.57,1.16,16.92,1.54,8.2,Low Risk,
Common Scab,25.0,66.04,1.0,19.35,1.2,8.87,Low Risk,
Common Scab,20.75,66.48,1.91,37.09,1.22,7.26,Low Risk,
Common Scab,22.69,82.86,1.97,27.08,1.16,6.56,Low Risk,
Common Scab,25.2,65.31,0.34,28.02,3.32,9.72,Low Risk,
Common Scab,20.36,69.27,0.69,40.92,2.66,9.49,Low Risk,
Common Scab,18.72,80.99,0.51,11.57,3.33,5.55,Low Risk,
Common Scab,21.82,68.89,0.56,25.37,2.88,8.61,Low Risk,
Common Scab,22.78,83.89,0.2,26.84,3.8,7.57,Low Risk,
Common Scab,21.33,69.54,0.64,36.69,3.76,5.39,Low Risk,
Common Scab,19.73,66.08,2.0,41.48,2.05,6.03,Low Risk,
Common Scab,20.28,70.59,0.47,37.65,1.55,6.21,Low Risk,
Common Scab,20.55,70.2,0.08,30.25,2.22,5.79,Low Risk,
Common Scab,21.57,82.13,0.93,36.01,3.5,5.83,Low Risk,
Common Scab,21.51,71.37,0.94,12.11,1.14,9.9,Low Risk,
Common Scab,25.14,75.79,0.3,17.46,1.58,5.86,Low Risk,
Common Scab,19.77,79.31,1.76,28.78,1.52,6.53,Low Risk,
Common Scab,25.63,74.66,1.17,12.55,1.01,7.14,Low Risk,
Common Scab,18.3,69.95,1.66,40.87,2.01,9.49,Low Risk,
Common Scab,25.28,78.24,1.44,45.23,2.66,5.11,Low Risk,
Common Scab,19.13,80.73,1.11,10.74,2.71,6.85,Low Risk,
Common Scab,20.03,82.34,0.58,27.4,2.39,7.13,Low Risk,
Common Scab,23.22,74.52,0.31,29.75,2.02,8.64,Low Risk,
Common Scab,21.03,71.26,0.88,11.11,2.59,8.06,Low Risk,
Common Scab,24.57,75.25,0.66,38.24,1.87,6.6,Low Risk,
Common Scab,24.8,75.44,0.2,13.35,3.35,5.26,Low Risk,
Common Scab,18.87,66.11,1.83,49.92,2.9,8.91,Low Risk,
Common Scab,19.31,71.13,0.34,45.43,1.37,5.86,Low Risk,
Common Scab,25.1,81.7,0.29,25.68,2.72,5.23,Low Risk,
Common Scab,25.84,83.93,0.29,11.32,2.15,8.94,Low Risk,
Common Scab,24.73,82.58,0.41,45.53,3.24,7.48,Low Risk,
Common Scab,25.02,70.89,0.18,42.82,1.64,5.94,Low Risk,
Common Scab,19.12,66.85,1.71,37.33,3.42,7.08,Low Risk,
Common Scab,24.66,76.99,1.2,39.93,2.31,7.58,Low Risk,
Common Scab,22.25,73.1,1.07,38.73,2.33,8.68,Low Risk,
Common Scab,23.02,66.97,1.13,48.98,3.86,6.66,Low Risk,
Common Scab,20.63,81.36,1.14,29.98,1.52,6.16,Low Risk,
Common Scab,21.75,78.41,0.19,36.04,3.22,7.76,Low Risk,
Common Scab,25.31,80.11,1.96,43.24,2.52,5.01,Low Risk,
Common Scab,21.04,73.82,1.05,46.77,1.76,5.42,Low Risk,
Common Scab,19.53,66.29,0.11,16.01,1.34,5.55,Low Risk,
Common Scab,24.57,74.73,0.19,27.62,3.11,5.71,Low Risk,
Common Scab,19.05,76.33,1.22,15.22,3.4,8.92,Low Risk,
Common Scab,20.63,77.05,1.53,46.29,2.24,5.02,Low Risk,
Common Scab,23.4,69.94,1.68,27.53,2.5,7.3,Low Risk,
Common Scab,18.16,79.25,1.46,20.6,3.22,5.43,Low Risk,
Common Scab,18.11,71.98,0.35,37.16,1.82,8.89,Low Risk,
Common Scab,19.22,84.03,0.89,17.99,2.02,9.48,Low Risk,
Common Scab,23.35,77.34,1.49,18.88,3.84,8.16,Low Risk,
Common Scab,24.69,74.94,1.11,43.59,1.13,7.86,Low Risk,
Common Scab,18.49,84.41,1.62,24.2,2.99,5.5,Low Risk,
Common Scab,24.48,74.85,0.19,16.05,2.23,9.16,Low Risk,
Common Scab,21.89,77.75,1.29,20.14,2.49,8.67,Low Risk,
Common Scab,24.66,83.83,1.91,44.84,1.97,8.21,Low Risk,
Common Scab,22.96,83.6,1.45,17.3,3.53,8.59,Low Risk,
Common Scab,20.4,68.9,0.51,19.31,1.13,9.2,Low Risk,
Common Scab,22.59,67.78,1.61,32.68,1.95,9.55,Low Risk,
Common Scab,19.41,79.71,1.73,37.92,2.44,7.04,Low Risk,
Common Scab,18.22,65.43,0.63,40.87,2.61,8.6,Low Risk,
Common Scab,20.55,81.1,1.34,29.13,2.19,8.92,Low Risk,
Common Scab,20.25,74.44,1.54,29.18,1.57,7.4,Low Risk,
